Number,Position [in],Pressure Drop [Torr] (R_e = 15000),Pressure Drop [Torr] (R_e = 25000),Pressure Drop [Torr] (R_e = 35000),
1,65,.74,1.95,4.48,
2,61.1,.7,1.87,4.28,
3,57.2,.67,1.8,4.11,
4,53.3,.63,1.72,3.98,
5,49.4,.6,1.65,3.85,
6,45.5,.57,1.57,3.72,
7,19.5,-2.67,-5.96,-8.99,
8,15.6,.18,.5,1.75,
9,11.7,.15,.43,1.62,
10,7.8,.12,.36,1.49,
11,3.9,.09,.28,1.35,
